标题,室数,厅数,卫数,面积,朝向,楼层数,建造时间,小区,行政区,街道,门牌号,单价,总价
正南 3室2厅 企业力荐好房诚意出售,3,2,1,96.71㎡,南,低层(共56层),2020年建造,招商一江璟城(北区),青山,红钢城,建设六路5号,19130元/㎡,185万
汉阳  2环 一线临江 准现房 总价140万,2,2,1,82.29㎡,南,,,新港临江汇,汉阳,建港,晴川大道与芳洲路交汇处,17986元/㎡,148万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,103.78㎡,南,低层(共34层),2010年建造,保利城(四期),洪山,铁机路,铁机路133号,21681元/㎡,225万
满二 山海观 精装三房两卫 南北通透双阳台 中间楼层 视野好,3,2,2,119.98㎡,南,中层(共34层),2020年建造,山海观,黄陂,盘龙城,机场高速,8835元/㎡,106万
汉阳琴台大道江景住宅 3室2厅2卫 102m 约199万,3,2,2,102㎡,南,,,新世界汉江·云赫,硚口,古田,知音大道588号,19510元/㎡,199万
正轻轨口次新小区，环境优雅出门及江滩，毛坯想象空间大，有钥匙,3,2,2,124.98㎡,南北,低层(共42层),2018年建造,汉江湾壹号(一期),硚口,古田,工农路108号,13443元/㎡,168万
（可芳草二桥）（稀缺大院子（还可扩）（精装20w，保养新）,3,2,2,137.73㎡,南,低层(共11层),2008年建造,南国明珠(二期),汉阳,王家湾,龙阳大道95号,17063元/㎡,235万
单价1万3起步主城区准现房,3,2,2,113㎡,南北,,,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,15045元/㎡,170万
满二唯一 正南 3室2厅 精装修,3,2,2,136.51㎡,南,低层(共21层),2014年建造,碧桂园生态城依云,洪山,光谷东,花山大道2号,11135元/㎡,152万
盛世江城前排，业主自住豪华装修 家具家电全送 价格可谈,2,2,1,87.48㎡,南,高层(共45层),2019年建造,中国水电盛世江城,江汉,杨汊湖,新湾路9号,23434元/㎡,205万
超大阳台 全房明亮 开发商直降 性价比高,3,2,2,120㎡,南北,,,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,15000元/㎡,180万
双轨交汇处，单价13500丹亭懿府，满二税少，周边商圈成熟,3,2,1,93.37㎡,南,低层(共34层),2020年建造,丹亭懿府,江岸,百步亭,百步亭路10号,14995元/㎡,140万
正南 3室2厅 精装修,3,2,2,97.28㎡,南,低层(共45层),2019年建造,保利新武昌,洪山,白沙洲,张家湾路8号,17270元/㎡,168万
正南 3室2厅 精装修,3,2,2,124.78㎡,南,中层(共50层),2022年建造,万科新都会,洪山,新南湖,岭南路,26367元/㎡,329万
东湖边 央企核心C位 天花板级别大盘   新房侨城欢乐天际,3,2,2,122㎡,南北,,,华侨城欢乐天际(新房),青山,余家头,团结大道地铁4号线工业四路站B出口（华侨城杉·艺术空间）,18443元/㎡,225万
地铁口 婚房装修 南北通透边户 满五唯一 税费少 ！,3,2,1,93㎡,南,低层(共40层),2016年建造,钰龙湾汇园,汉阳,七里庙,墨水湖北路229号,15054元/㎡,140万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,114.1㎡,南,低层(共33层),2018年建造,东方雨林,江夏,庙山,阳光大道,10342元/㎡,118万
神盘大嫂送大哥马尔代夫的豪装楼下就是摩尔城看湖,3,2,2,125㎡,南,,,中国铁建花语汀澜,汉阳,王家湾,玉龙路与墨水湖北路交汇处,18480元/㎡,231万
正南 3室2厅 精装修,3,2,2,126.08㎡,南,高层(共34层),2019年建造,世茂云锦玉海园,洪山,白沙洲,白沙五路,14277元/㎡,180万
万科光澜道一期 高楼层 采光视野好 洪山广场旁 地铁口,3,2,1,91.19㎡,南北,高层(共30层),2016年建造,万科金色城市锦绣苑,洪山,白沙洲,白沙五路7号,14256元/㎡,130万
三环内王炸楼盘单价14000中字头央企开发,3,2,1,99㎡,南北,,,中国铁建·花语天著,江岸,百步亭,新区大道与游湖二路交汇处,14849元/㎡,147万
正南 2室2厅 精装修,2,2,1,85.02㎡,南,低层(共33层),2017年建造,天汇龙城龙锴苑,黄陂,盘龙城,盘龙城巨龙大道90号,8940元/㎡,76万
106平 南北通透 王家湾中央生活区 电梯房 满二 3室2厅,3,2,1,106.7㎡,南北,中层(共30层),2015年建造,王家湾中央生活区,汉阳,王家湾,汉阳大道,14996元/㎡,160万
下楼地铁口 绿道另外可以上于武昌区第一梯队,3,2,2,111㎡,南北,,,东湖ONE,洪山,欢乐谷,团结大道1068号（园林路E出口/金地广场对面）,21532元/㎡,239万
正南 2室2厅 精装修,2,2,1,85.3㎡,南,高层(共45层),2016年建造,福星华府(东区),江汉,杨汊湖,新湾路23号,17585元/㎡,150万
产证满五年，中间楼层，视野采光好，店长力荐精装小三房。,3,2,1,90.56㎡,南,中层(共34层),2015年建造,保利心语十期(北区),洪山,新南湖,野芷湖南路3号,17889元/㎡,162万
华发以国企实力，兑现有保障,3,2,2,101㎡,南,,,华发都荟天地,硚口,古田,古田二路轻轨站旁100米,19010元/㎡,192万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,94.74㎡,南,低层(共45层),2015年建造,国际百纳,江岸,后湖,中一路36号,18789元/㎡,178万
保利上城 正地铁口 精装三房 产证满二 南北通透,3,2,1,84㎡,南北,低层(共34层),2018年建造,保利上城东区,洪山,白沙洲,烽胜路20号,15477元/㎡,130万
天地盛荟无任何后期费用！上长春街本校一线看江,2,2,1,96.56㎡,南,低层(共48层),2017年建造,武汉天地盛荟,江岸,二七路,永和路8号,60067元/㎡,580万
徐东内环刚需小两室 央企保利开发 年底交房,2,2,1,75㎡,南北,,,保利城七期云廷,洪山,铁机路,北洋桥西路与铁机东路交汇处,20000元/㎡,150万
地铁口300米 满五唯1  急售 房东配合 自住装修,3,2,1,84.78㎡,南,低层(共33层),2016年建造,平安光谷春天,江夏,金融港,高新六路15号,17457元/㎡,148万
新上捡漏电梯房 2008城市花园101平精装仅售105万老证,2,2,1,100.36㎡,南北,中层(共11层),2008年建造,2008城市花园,硚口,古田,长丰大道99号,10463元/㎡,105万
三室两厅两卫，全屋精装修，万科大牌,3,2,2,102㎡,南北,,,万科华生公园大道(新房),硚口,古田,园博大道(蓝光林肯公园西侧约100米),16569元/㎡,169万
古田二路 凯德广场 红星佳苑 通透三房 超值户型 随时看房,3,2,1,118.87㎡,南北,中层(共34层),2018年建造,红星佳苑,硚口,古田,古田路16号,12367元/㎡,147万
20W可以买 电梯房 满两年 旭辉御府 82平 房东急售,3,2,1,82㎡,南,低层(共29层),2017年建造,旭辉御府,江夏,东湖高新,高新四路,15244元/㎡,125万
招商未来中心 地铁口 国企开发 均价1.5 专业配盘 包接送,3,2,2,100㎡,南,,,招商·武汉城建未来中心,沌口开发区,体育中心,沌阳大道与体育路交汇处（协和医院西院对面）,17500元/㎡,175万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,93.95㎡,南,中层(共47层),2018年建造,福星惠誉东湖城(二期),洪山,欢乐谷,园林路169号,19160元/㎡,180万
正南 3室2厅 精装修,3,2,2,128.52㎡,南,高层(共48层),2021年建造,东原启城(三四期),洪山,白沙洲,烽胜路,14162元/㎡,182万
总价130多万买汉阳二环央企开发正地铁口精装现房120边户,3,2,2,123㎡,南,,,保利星河九洲,汉阳,升官渡,永安堂地铁站旁100米,14228元/㎡,175万
三环 一线湖景 毛坯3房 东边户 南北通透 采光无敌,3,2,2,125.89㎡,南北,中层(共32层),2020年建造,楚天都市沁园,洪山,白沙洲,双沁二路1号,11916元/㎡,150万
捡漏！降价20万！清江山水三房 户型方正 业主急售,3,2,1,87.73㎡,南,高层(共32层),2009年建造,清江山水,洪山,光谷软件园,软件园中路10号,19378元/㎡,170万
汉阳中心片区 精装入住 交房又保障,3,2,2,110㎡,南,,,王家湾中央生活区湾玺,汉阳,升官渡,汉阳大道与玉龙路交汇处,19000元/㎡,209万
联投金色港湾 精装修 南北通透 3室2厅 房东急置换 诚意买,3,2,1,94.29㎡,南北,高层(共33层),2018年建造,联投金色港湾,沌口开发区,江汉大学,博学路6号,13257元/㎡,125万
地铁三号线精装3室2厅1卫150万元急售,3,2,1,92㎡,南,低层(共33层),2017年建造,绿地悦澜湾,汉阳,四新,四新北路601号,16305元/㎡,150万
3号线地铁口 龙阳1号 首付23万买两室 精装 老证,2,1,1,67.36㎡,南北,低层(共33层),2015年建造,龙阳1号,汉阳,王家湾,芳草路88号,17073元/㎡,115万
七里庙地铁口南北通通 户型明厨明卫准现房,3,2,2,106㎡,南,,,尚城国际,汉阳,五里墩,七里庙地铁站b出口，汉阳大道580号,16510元/㎡,175万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,95.74㎡,南,高层(共48层),2018年建造,金科城,洪山,欢乐谷,仁和路98号,16504元/㎡,158万
保利上城西区，双卫双阳台，中庭边户，产证满二,3,2,2,109.77㎡,南北,低层(共40层),2019年建造,保利上城西区,洪山,白沙洲,峰胜路20号,16854元/㎡,185万
四新地铁口国企毛坯准现房 新房团购价,3,2,2,105㎡,南北,,,海格公馆(新房),汉阳,四新,四新中路与四新南路交汇处,17143元/㎡,180万
武汉地产集团开发，精装交付品质高，小区环境优雅,3,2,2,114.17㎡,南,高层(共47层),2021年建造,汇悦天地(三期),江岸,后湖,和谐大道596号,16642元/㎡,190万
必看好房 不靠三环 低于同户型价格 年前精装 大兴路慧泉一初,3,2,1,95.67㎡,南,高层(共47层),2019年建造,中国水电盛世江城,江汉,杨汊湖,新湾路9号,24041元/㎡,230万
旭辉大盘 老汉阳政务中心旁 墨水湖一线湖景,3,2,2,115㎡,南北,,,钰龙旭辉半岛·和岸,汉阳,七里庙,麒麟路与百灵路交汇处,19044元/㎡,219万
新上好房 业主急售 长江鑫都方正两房 地铁口电梯房,2,2,1,87.87㎡,南,高层(共30层),2006年建造,长江鑫都A区,洪山,白沙洲,白沙二路8号,9901元/㎡,87万
电梯房 联投汉口郡(三期)御湖 南北通透 101平 房东急置,3,2,1,101㎡,南北,中层(共24层),2020年建造,联投汉口郡(三期)御湖,黄陂,武湖,武黄路,8713元/㎡,88万
新房首发 多面积 多价格 多楼层 多户型随便选 免费看房,3,2,2,108.35㎡,南北,,,方岛金茂智慧科学城(新房),汉阳,升官渡,芳草路与四新大道交叉口,19013元/㎡,206万
锦绣江南 集中供暖 南向三房 有车位 采光无遮挡 产证两年,3,2,1,92.09㎡,南北,低层(共18层),2010年建造,统建锦绣江南(二四期),武昌,中北路,中北路126号,26605元/㎡,245万
名湖豪庭 必卖好房 精装修满五唯一 诚心出售随时可看,3,2,1,106.4㎡,东南,中层(共33层),2015年建造,名湖豪庭,洪山,光谷软件园,华师园路9号,16918元/㎡,180万
汉阳三环内双地铁单价14500精装交付准现房,3,2,2,98㎡,南,,,禹洲新希望雍禧兰台(新房),汉阳,四新,四新南路与新华园二路交汇处,15000元/㎡,147万
丽水花园 通透大三房 单价才1.18万 老证 前后双阳台 急,3,2,2,156.32㎡,南北,中层(共12层),2002年建造,丽水花园,汉阳,钟家村,马沧湖路380号,11835元/㎡,185万
正南 3室2厅 精装修,3,2,2,111.71㎡,南,低层(共48层),2021年建造,东原启城(三四期),洪山,白沙洲,烽胜路,15218元/㎡,170万
保利新武昌 正地铁口 精装三房 采光好 产证满二,3,2,2,101.27㎡,南,高层(共44层),2020年建造,保利新武昌,洪山,白沙洲,张家湾路8号,19552元/㎡,198万
汉口二环一号线轻轨口千禧城旁国企现房单价1.3送车位20上车,2,2,1,86㎡,南北,,,武汉城建汉樾台,硚口,古田,古田四路与长安路交叉口西侧（湖北警官学院北区旁）,16861元/㎡,145万
汉口江滩正对面，上海路口 2楼 3室2厅2卫3阳台 全明户型,3,2,2,103.31㎡,东南,低层(共7层),1995年建造,上海路4-8号小区,江岸,江汉路,上海路4-8号,16746元/㎡,173万
满五唯一住房 精装修 2室1厅 南北通透 看房方便 有钥匙,2,2,1,89.29㎡,南北,高层(共7层),2005年建造,华星花园,东西湖,吴家山,革新大道1020号,8960元/㎡,80万
保利庭瑞阅江台滨江新品     3室2厅2卫 130m,3,2,2,130㎡,南,,,保利庭瑞阅江台·滨江新品,硚口,古田,琴台大道与玉龙路交汇处,20000元/㎡,260万
南北通透 3室2厅 精装修,3,2,2,122.93㎡,南北,中层(共25层),2015年建造,怡景华庭,汉阳,钟家村,五通路,18060元/㎡,222万
古田二路地铁口 凯德对面 中间楼层 采光好 户型方正 随时看,2,2,1,91.43㎡,南北,中层(共44层),2015年建造,海尔国际广场,硚口,古田,古田二路98号,15860元/㎡,145万
汉阳主城区，黄金口地铁站，总高六楼的小高层洋房，58团购折扣,3,2,2,118㎡,南,,,天创黄金时代,汉阳,黄金口,地铁4号线黄金口站B出口东行约500米,11017元/㎡,130万
（急售，老证！）百步亭中心位置，百步亭幸福时代，三房钥匙房源,3,2,1,95.18㎡,南,高层(共33层),2017年建造,幸福时代(三期),江岸,百步亭,新益街135号,18492元/㎡,176万
人信汇天誉 总高22层 稀缺两室带书房 湖景房 看房有钥匙,2,2,1,87.02㎡,南北,中层(共22层),2019年建造,人信汇天誉,汉阳,王家湾,龙阳大道62号,17812元/㎡,155万
三环边主城区单价9XXX，正地铁口 国企开发 配套齐全,4,2,2,128㎡,南,,,天创黄金时代,汉阳,黄金口,地铁4号线黄金口站B出口东行约500米,10157元/㎡,130万
江山如画挂角边户南北向中间楼层，证满税少急售,3,2,2,117.93㎡,南,低层(共33层),2003年建造,江山如画(5期),硚口,崇仁路,江中路71号,22471元/㎡,265万
湖景佳园 一站式教育 湖景房,3,2,2,126.63㎡,南北,中层(共19层),2018年建造,湖景佳园,黄陂,汉口北,解放大道,5370元/㎡,68万
国博新城 95110平三房出售小高层公摊17,3,2,2,95㎡,南北,,,城投融创国博城,汉阳,四新,四新南路与鄂渚路交汇处,16527元/㎡,157万
2室2厅 人信汇天誉 商圈成熟 随时看房 价格可议 诚意出,2,2,1,83.16㎡,南,低层(共48层),2019年建造,人信汇天誉,汉阳,王家湾,龙阳大道62号,15874元/㎡,132万
急售武广万松园老证东南朝向 中间楼层 户型方正 自住装修,3,2,1,115.71㎡,东南,高层(共28层),2003年建造,同成广场,江汉,新华路,建设大道538号,15989元/㎡,185万
电梯入户 精装交付 老证看江 诚意出售,4,2,2,145.79㎡,南,中层(共32层),2020年建造,城开云悦邸,江岸,百步亭,后湖大道,19892元/㎡,290万
地铁口70年别墅  送地下室花园  金地品质 得房率高,4,2,3,137㎡,南北,,,金地国际城,汉阳,黄金口,黄金口地铁站A出口西行200米处,10949元/㎡,150万
好赞好房 带私家车位 二小加实验 精装两房带书房,2,2,1,92.1㎡,南北,低层(共11层),2013年建造,现代森林小镇,江夏,东湖高新,光谷大道120号,23345元/㎡,215万
南北通透 3室2厅 精装修,3,2,1,94.01㎡,南北,中层(共23层),2009年建造,南湖名都A区,洪山,新南湖,丁字桥南路556号,19147元/㎡,180万
古田唯一自带幼儿园小学中学高端改善刚需精装现房,3,2,2,108㎡,南北,,,绿城华生桂语朝阳(新房),硚口,古田,园博大道与古田一路交汇处,16482元/㎡,178万
汉桥城中花园 精装修三房两厅 拎包入住 钥匙在手 随时看房,3,2,1,90㎡,南北,高层(共32层),2018年建造,汉桥城中花园D区,汉阳,七里庙,汉桥路,12778元/㎡,115万
正南 3室2厅 精装修,3,2,2,107.24㎡,南,高层(共18层),2017年建造,中国铁建梧桐苑,江夏,金融港,民族大道324号,20981元/㎡,225万
联投悦西湖湖景三大三房 格局创新 低公摊高使用,3,2,2,100㎡,南,,,联投悦西湖,洪山,光谷东,花山春和路白石美术馆旁50米,16700元/㎡,167万
正南 2室2厅 精装修,2,2,1,88.29㎡,南,高层(共34层),2016年建造,保利城一期,洪山,铁机路,团结大道1049号,18689元/㎡,165万
7号线 中环星干线 老证 朝南两房 大兴路一初,2,2,2,88.83㎡,南,低层(共18层),2011年建造,中环星干线,江汉,杨汊湖,江达路50号,11145元/㎡,99万
光谷主城区  地铁口  准现房,3,2,2,117.74㎡,南北,,,伟鹏硅谷小镇一期,洪山,光谷东,未来三路和科技三路交汇处,13420元/㎡,158万
保利公园九里小三房，不临铁路不临高架，小区中间安静,3,2,1,94.23㎡,南北,中层(共34层),2011年建造,保利公园九里(1-4期),洪山,新南湖,南湖小路9号,18360元/㎡,173万
宗关二环内中建御景星城，好房好价，满两年，随时看，诚心卖,2,2,1,91.9㎡,南北,中层(共46层),2016年建造,中建御景星城(景园),硚口,宗关,汉西路,20131元/㎡,185万
左岭地铁口硅谷小镇先仅11500最后五套,3,2,2,107㎡,南北,,,伟鹏硅谷小镇一期,洪山,光谷东,未来三路和科技三路交汇处,13458元/㎡,144万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,126.84㎡,南,低层(共32层),2016年建造,南湖时尚城,洪山,光谷软件园,南湖大道116号,14586元/㎡,185万
